n bits ylog
60 90 1.42043
60 100 1.54675
95 20 1.61769
95 30 1.65128
95 40 1.60242
95 50 1.54139
95 60 1.57457
95 70 1.61675
95 80 1.60261
95 90 1.50468
95 100 1.72996
147 20 1.66305
147 30 1.55789
147 40 1.63273
147 50 1.79512
147 60 1.64803
147 70 1.70584
147 80 1.66601
147 90 1.6547
147 100 1.65384
225 20 1.87332
225 30 1.73497
225 40 1.82511
225 50 1.80942
225 60 1.93019
225 70 1.7766
225 80 1.95869
225 90 1.62733
225 100 1.89767
342 20 1.98795
342 30 1.8343
342 40 2.02656
342 50 2.20451
342 60 2.15243
342 70 1.65843
342 80 2.07213
342 90 1.68556
342 100 1.92888
60 20 1.75426
60 30 1.6316
60 40 1.52761
60 50 1.62342
60 60 1.88988
60 70 1.66974
60 80 1.70506
60 90 1.6993
60 100 1.71119
95 20 1.78827
95 30 1.96825
95 40 1.95808
95 50 1.68887
95 60 1.58932
95 70 1.84324
95 80 1.77345
95 90 1.70068
95 100 1.52489
147 20 1.76277
147 30 1.70711
147 40 1.59398
147 50 1.57893
147 60 1.55896
147 70 1.80505
147 80 1.77571
147 90 1.85978
147 100 1.83178
225 20 2.07139
225 30 2.14591
225 40 2.09979
225 50 1.85415
225 60 2.10953
225 70 2.26089
225 80 1.96481
225 90 2.09485
225 100 2.29026
342 20 2.06799
342 30 2.09537
342 40 2.1182
342 50 2.28154
342 60 2.08784
342 70 2.14887
342 80 2.14163
342 90 1.76397
342 100 1.87387
60 20 2.46285
60 30 2.08548
60 40 2.83056
60 50 2.23302
60 60 2.27387
60 70 2.36554
60 80 2.61989
60 90 2.52812
60 100 2.68908
95 20 2.05557
95 30 1.85182
95 40 1.75075
95 50 1.96939
95 60 1.84602
95 70 1.9509
95 80 1.62271
95 90 1.90073
95 100 1.76867
147 20 1.77832
147 30 1.85736
147 40 1.6528
147 50 1.66348
147 60 1.69255
147 70 1.69173
147 80 1.7895
147 90 1.74972
147 100 1.83186
225 20 1.82172
225 30 1.83121
225 40 1.85163
225 50 1.78144
225 60 1.85677
225 70 1.8725
225 80 1.89675
225 90 1.79383
225 100 1.9734
342 20 2.31797
342 30 2.53375
342 40 2.70892
342 50 2.67998
342 60 2.60932
342 70 2.59459
342 80 2.58833
342 90 2.62462
342 100 2.6534
60 20 1.71192
60 30 1.48952
60 40 1.44919
60 50 1.54085
60 60 1.79536
60 70 1.47053
60 80 1.8602
60 90 1.88488
60 100 1.47132
95 20 1.72103
95 30 1.58501
95 40 1.57644
95 50 1.45072
95 60 1.52331
95 70 1.53226
95 80 1.66092
95 90 1.5216
95 100 1.44681
147 20 2.11253
147 30 2.10189
147 40 1.85493
147 50 2.04887
147 60 2.10407
147 70 2.02555
147 80 1.95569
147 90 2.03766
147 100 2.02888
225 20 1.6066
225 30 1.60466
225 40 1.6846
225 50 1.75617
225 60 1.8675
225 70 1.70203
225 80 1.86193
225 90 1.92336
225 100 1.79594
342 20 1.82203
342 30 1.80306
342 40 1.9451
342 50 1.72348
342 60 1.85017
342 70 1.74349
342 80 1.75546
342 90 1.8526
342 100 1.70086
60 20 1.51336
60 30 1.46015
60 40 1.60689
60 50 1.68664
60 60 1.68973
60 70 1.63712
60 80 1.45015
60 90 1.75615
60 100 1.70162
95 20 2.07805
95 30 1.69603
95 40 1.88379
95 50 1.99313
