50, 1.715679e-07, 1.831112e-07
60, 1.714538e-07, 1.834775e-07
70, 1.714494e-07, 1.837436e-07
80, 1.719142e-07, 1.894450e-07
90, 1.718203e-07, 1.864361e-07
100, 1.781371e-07, 1.916142e-07
110, 1.725929e-07, 1.846078e-07
120, 1.747580e-07, 1.853975e-07
130, 1.762490e-07, 1.844934e-07
140, 1.740871e-07, 1.832154e-07
150, 1.767665e-07, 1.833019e-07
160, 1.727620e-07, 1.849001e-07
170, 1.742562e-07, 1.870373e-07
180, 1.724246e-07, 1.847872e-07
190, 1.766297e-07, 1.865526e-07
200, 1.766869e-07, 1.842969e-07
210, 1.760814e-07, 1.852180e-07
220, 1.767389e-07, 1.901361e-07
230, 1.742484e-07, 1.860245e-07
240, 1.758809e-07, 1.890422e-07
250, 1.752083e-07, 1.873210e-07
260, 1.774135e-07, 1.879941e-07
270, 1.763295e-07, 1.926587e-07
280, 1.785450e-07, 1.884134e-07
290, 1.777193e-07, 1.900807e-07
300, 1.754077e-07, 1.869309e-07
500, 1.826848e-07, 1.943454e-07
600, 1.865094e-07, 1.975620e-07
700, 1.891326e-07, 2.020316e-07
800, 1.903687e-07, 2.020381e-07
