2.0	-0.361147
3.0	0.0793957
4.0	0.231034
5.0	0.260423
6.0	0.276207
7.0	0.280311
8.0	0.27308
9.0	0.252386
10.0	0.247293
11.0	0.261917
12.0	0.261643
13.0	0.238955
14.0	0.261446
15.0	0.265499
16.0	0.248578
17.0	0.256288
18.0	0.268793
19.0	0.285585
20.0	0.238193
21.0	0.28284
22.0	0.281117
23.0	0.266368
24.0	0.273854
25.0	0.254688
26.0	0.288649
27.0	0.270036
28.0	0.248598
29.0	0.25163
30.0	0.29953
31.0	0.264465
32.0	0.273046
33.0	0.242688
34.0	0.249109
35.0	0.27761
36.0	0.274435
37.0	0.237702
38.0	0.247222
39.0	0.269427
40.0	0.269609
41.0	0.236627
42.0	0.273542
43.0	0.284815
44.0	0.256684
45.0	0.269286
46.0	0.265471
47.0	0.25493
48.0	0.246681
49.0	0.242191
50.0	0.255543
51.0	0.254372
52.0	0.287241
53.0	0.234301
54.0	0.256558
55.0	0.232352
56.0	0.264364
57.0	0.247157
58.0	0.257194
59.0	0.259173
60.0	0.280204
61.0	0.256464
62.0	0.251221
63.0	0.257666
64.0	0.243732
65.0	0.261269
66.0	0.245036
67.0	0.228923
68.0	0.262785
69.0	0.277492
70.0	0.237632
71.0	0.27762
72.0	0.259921
73.0	0.258825
74.0	0.276086
75.0	0.281555
76.0	0.275094
77.0	0.242467
78.0	0.276085
79.0	0.25447
80.0	0.254994
81.0	0.281241
82.0	0.24768
83.0	0.266204
84.0	0.254893
85.0	0.272643
86.0	0.283883
87.0	0.251049
88.0	0.255133
89.0	0.258292
90.0	0.287371
91.0	0.286293
92.0	0.235278
93.0	0.250503
94.0	0.276513
95.0	0.272645
96.0	0.256445
97.0	0.266453
98.0	0.281094
99.0	0.274066
100.0	0.266543
